,YAD,AECI,HST,TAL,DUK,FPC,CPLE,CPLW,EEI,FMPP,FPL,GVL,GRID,ISNE,JEA,LGEE,MISO,NSB,NYIS,NWMT,OVEC,PJM,AEC,PNM,SEC,SCEG,SC,SEPA,SOCO,SWPP,SPA,TEC,TVA,WACM,WAUW,NBSO,ERCO
0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,-3.0,0.0,0.0,0.0,0.0,0.0,-1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,-3.0,0.0,-1.0,0.0,0.0,0.0,-1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,-2.0,0.0,-2.0,0.0,0.0,0.0,0.0,0.0,-1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,-3.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0,-2.0,0.0,-2.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,1.0,6.0,38.0,8.0,0.0,6.0,63.0,0.0,46.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.0,0.0,0.0,0.0,4.0,0.0,0.0,407.0,0.0,0.0,14.0,8.0,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0,3.0,46.0,111.0,234.0,8.0,0.0,73.0,670.0,0.0,103.0,9.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,198.0,0.0,0.0,0.0,69.0,11.0,0.0,1105.0,8.0,0.0,188.0,75.0,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,18.0,128.0,305.0,650.0,8.0,0.0,140.0,1763.0,0.0,109.0,13.0,20.0,1.0,33.0,0.0,0.0,0.0,0.0,495.0,0.0,0.0,1.0,179.0,22.0,0.0,1546.0,25.0,0.0,377.0,122.0,0.0,0.0,0.0,0.0
11,0.0,0.0,0.0,35.0,204.0,381.0,988.0,8.0,0.0,144.0,2239.0,0.0,102.0,16.0,25.0,1.0,66.0,0.0,0.0,0.0,0.0,580.0,0.0,0.0,1.0,326.0,35.0,0.0,1752.0,54.0,0.0,394.0,127.0,0.0,0.0,0.0,0.0
12,0.0,0.0,0.0,38.0,292.0,374.0,1200.0,8.0,0.0,119.0,2299.0,0.0,100.0,19.0,27.0,1.0,116.0,0.0,0.0,0.0,0.0,594.0,0.0,0.0,1.0,414.0,36.0,0.0,1894.0,61.0,0.0,347.0,164.0,0.0,0.0,0.0,0.0
13,0.0,0.0,0.0,43.0,295.0,352.0,1352.0,8.0,0.0,105.0,2232.0,0.0,102.0,23.0,26.0,1.0,205.0,0.0,0.0,0.0,0.0,631.0,0.0,0.0,1.0,394.0,28.0,0.0,1749.0,93.0,0.0,366.0,132.0,0.0,0.0,0.0,0.0
14,0.0,0.0,0.0,40.0,281.0,353.0,1264.0,8.0,0.0,125.0,2159.0,0.0,108.0,27.0,22.0,0.0,233.0,0.0,0.0,0.0,0.0,587.0,0.0,0.0,1.0,415.0,42.0,0.0,1765.0,43.0,0.0,367.0,86.0,0.0,0.0,0.0,0.0
15,0.0,0.0,0.0,37.0,156.0,354.0,1191.0,8.0,0.0,125.0,2042.0,0.0,107.0,21.0,20.0,1.0,177.0,0.0,0.0,0.0,0.0,438.0,0.0,0.0,1.0,359.0,47.0,0.0,1431.0,32.0,0.0,371.0,14.0,0.0,0.0,0.0,0.0
16,0.0,0.0,0.0,36.0,63.0,350.0,779.0,8.0,0.0,121.0,1653.0,0.0,54.0,12.0,19.0,0.0,127.0,0.0,0.0,0.0,0.0,161.0,0.0,0.0,1.0,359.0,23.0,0.0,748.0,73.0,0.0,353.0,4.0,0.0,0.0,0.0,0.0
17,0.0,0.0,0.0,21.0,25.0,219.0,248.0,8.0,0.0,57.0,760.0,0.0,4.0,3.0,8.0,0.0,86.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,1.0,158.0,6.0,0.0,91.0,28.0,0.0,207.0,-2.0,0.0,0.0,0.0,0.0
18,0.0,0.0,0.0,2.0,1.0,20.0,26.0,9.0,0.0,4.0,70.0,0.0,-1.0,3.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,3.0,0.0,20.0,-2.0,0.0,0.0,0.0,0.0
19,0.0,0.0,0.0,0.0,2.0,0.0,25.0,8.0,0.0,0.0,0.0,0.0,-1.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0,0.0,0.0,25.0,8.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,-2.0,0.0,0.0,0.0,0.0
21,0.0,0.0,0.0,0.0,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,-1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0,-2.0,0.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,-2.0,0.0,0.0,0.0,0.0
23,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,0.0,0.0,0.0,0.0,0.0,-1.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,0.0,0.0,0.0,0.0,0.0,0.0,-3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,0.0,0.0,0.0,0.0
25,0.0,0.0,0.0,0.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0
27,0.0,0.0,0.0,0.0,-1.0,0.0,-2.0,0.0,0.0,0.0,0.0,0.0,-1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0
28,0.0,0.0,0.0,0.0,-1.0,0.0,-2.0,0.0,0.0,0.0,-1.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,0.0,0.0,0.0,0.0,-1.0,0.0,-2.0,0.0,0.0,0.0,0.0,0.0,-1.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,0.0,0.0,0.0,0.0,-2.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.0,0.0,0.0,0.0,0.0
31,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
