Time,Coal_100_200,Coal_200_300,Coal_300_400,Coal_400_600,Coal_50_100,Coal_600_800,Coal_800_1000,Coal_All_n_0_100,Coal_All_n_100_200,Coal_All_n_ovr_200,Gas_50_100,Gas_All_n_0_100,Gas_All_n_100_200,Gas_All_n_ovr_200,Gas_below_50,Nuclear_800_1000,Nuclear_ovr_1000,Coal_below_50,Coal_ovr_1000,Gas_100_200,Gas_200_300,Gas_300_400,Gas_400_600,Gas_600_800,Gas_800_1000,Gas_ovr_1000,Nuclear_below_50,Nuclear_50_100,Nuclear_100_200,Nuclear_200_300,Nuclear_300_400,Nuclear_400_600,Nuclear_600_800,Nuclear_All_n_0_100,Nuclear_All_n_100_200,Nuclear_All_n_ovr_200
1,4951.650518880169,3296.26186406,3051.2002238103,8444.18436313605,1338.9868610481,9297.3482428335,8329.0050365949,12.1400937844,18.68994865682,792.36491467368,6129.697626965551,8.2,2440.93802671278,5429.949859468919,100.31065520940001,392.9085397398,1633.6900100343498,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,4961.65884730355,3331.32538476,3266.3688274321803,8444.18436313605,1409.9368610481001,9829.4930548332,8329.0050365949,12.1400937844,18.68994865682,792.36491467368,6200.64762696555,8.2,2753.2780267127796,5429.949859468919,100.31065520940001,453.8557682373,1633.6900100343498,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,4610.48797483225,3311.35367631,3568.1486025471004,8512.3626582897,1409.9368610481001,9169.1848851175,7436.718750711299,16.2400937844,18.68994865682,792.36491467368,5823.98190573045,12.299999999999999,2721.97367993628,4691.92550714064,99.81473684310001,453.8557682373,1633.6900100343498,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,4610.48797483225,3311.35367631,3568.1486025471004,8512.3626582897,1409.9368610481001,9837.0848851175,6547.8187507113,16.655560449699998,18.68994865682,792.36491467368,5823.98190573045,12.299999999999999,2878.1436799362796,4691.92550714064,99.81473684310001,453.8557682373,1633.6900100343498,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,4610.48797483225,3311.35367631,3668.65376167371,8512.3626582897,1417.64676107175,9670.1098851175,6547.8187507113,16.655560449699998,18.68994865682,792.36491467368,5823.98190573045,12.299999999999999,2878.1436799362796,4691.92550714064,99.81473684310001,453.8557682373,1633.6900100343498,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,4610.48797483225,3311.35367631,3668.65376167371,8026.5126582897,1417.64676107175,9670.1098851175,6547.8187507113,16.2400937844,18.68994865682,792.36491467368,5823.98190573045,12.299999999999999,2878.1436799362796,4691.92550714064,99.81473684310001,453.8557682373,1633.6900100343498,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,4610.48797483225,3311.35367631,3668.65376167371,7931.20372954965,1417.5048610717502,9632.355107756499,6547.8187507113,16.2400937844,18.68994865682,792.36491467368,5823.98190573045,12.299999999999999,2565.80367993628,4850.43178107576,99.81473684310001,453.8557682373,1633.6900100343498,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,4610.48797483225,3311.35367631,3668.65376167371,7939.86244233435,1417.5048610717502,9295.2588759758,5832.2826128436,12.1400937844,18.68994865682,792.36491467368,5823.98190573045,12.299999999999999,2409.63367993628,5319.0900267846,99.81473684310001,453.8557682373,1633.6900100343498,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,4610.48797483225,3311.35367631,3668.65376167371,7893.499023039601,1409.9368610481001,9963.1588759758,6721.1826128436,12.1400937844,174.85994865682,792.36491467368,5823.98190573045,12.299999999999999,2565.80367993628,5244.3193602538795,99.81473684310001,453.8557682373,1633.6900100343498,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,4610.48797483225,3311.35367631,3668.65376167371,7893.499023039601,1409.9368610481001,9963.1588759758,6721.1826128436,11.3562702533,174.85994865682,792.36491467368,6036.831905730451,12.299999999999999,2721.97367993628,5244.3193602538795,99.81473684310001,453.8557682373,1633.6900100343498,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,4610.48797483225,3311.35367631,3668.65376167371,7893.499023039601,1458.36305155695,10631.0588759758,6721.1826128436,10.4858087161,174.85994865682,792.36491467368,6107.7819057304505,12.299999999999999,2721.97367993628,5244.3193602538795,99.81473684310001,453.8557682373,1633.6900100343498,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,4610.48797483225,3311.35367631,3839.0731244340304,8000.7806221501505,1458.36305155695,11332.3538759758,6721.1826128436,10.4858087161,174.85994865682,792.36491467368,5965.88190573045,12.299999999999999,2878.1436799362796,6197.068067526,99.81473684310001,453.8557682373,1633.6900100343498,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,4610.48797483225,3345.42775035,3839.0731244340304,8286.57473974005,1486.9795515333,10734.1651864204,6721.1826128436,10.4858087161,174.85994865682,792.36491467368,5965.88190573045,12.299999999999999,2878.1436799362796,6038.56179359088,102.51473684310001,453.8557682373,1633.6900100343498,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,4610.48797483225,3345.42775035,3839.0731244340304,7800.724739740051,1486.9795515333,10885.704680130899,6721.1826128436,10.4858087161,174.85994865682,792.36491467368,5918.82323226975,12.299999999999999,2721.97367993628,5679.8136454956,102.51473684310001,453.8557682373,1633.6900100343498,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,4610.48797483225,3345.42775035,3839.0731244340304,7724.8414519507505,1557.9295515333001,10980.5352547356,7882.3170850653,10.4858087161,174.85994865682,792.36491467368,5776.92323226975,12.299999999999999,2721.97367993628,5228.91484060992,102.51473684310001,453.8557682373,1633.6900100343498,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,4610.48797483225,3345.42775035,3668.65376167371,7724.8414519507505,1557.9295515333001,11706.5135151115,7882.3170850653,10.4858087161,174.85994865682,792.36491467368,5776.92323226975,12.299999999999999,2253.4636799362797,4961.19940378704,102.51473684310001,453.8557682373,1633.6900100343498,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,4610.48797483225,3364.70149344,3668.65376167371,7617.559852840201,1557.9295515333001,11664.8652300622,8915.0785330887,10.4858087161,174.85994865682,792.36491467368,5776.92323226975,12.299999999999999,2253.4636799362797,4961.19940378704,105.21473684310001,453.8557682373,1633.6900100343498,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,4610.48797483225,3364.70149344,3668.65376167371,7642.1193031227,1557.9295515333001,10206.1716300622,8915.0785330887,10.4858087161,174.85994865682,792.36491467368,5776.92323226975,8.2,2097.2936799362797,4961.19940378704,105.21473684310001,453.8557682373,1633.6900100343498,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,4623.502141446859,3373.59101575,3668.65376167371,7642.1193031227,1557.9295515333001,10874.071630062199,9063.228533385,10.4858087161,174.85994865682,792.36491467368,5918.82323226975,8.2,1941.1236799362798,4961.19940378704,105.21473684310001,453.8557682373,431.24001003434995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,4623.502141446859,3373.59101575,3668.65376167371,7802.42514089085,1557.9295515333001,10874.071630062199,8547.7808379249,10.4858087161,331.02994865681995,792.36491467368,6131.67323226975,8.2,2097.2936799362797,4961.19940378704,105.21473684310001,453.8557682373,1633.6900100343498,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,4623.502141446859,3373.59101575,3668.65376167371,7810.94882527185,1557.9295515333001,10206.1716300622,6826.1218899015,10.4858087161,331.02994865681995,792.36491467368,6202.623232269751,8.2,2116.2233768728497,4961.19940378704,105.21473684310001,453.8557682373,1633.6900100343498,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,4623.502141446859,3373.59101575,3831.27298042371,7810.94882527185,1557.9295515333001,10874.071630062199,6826.1218899015,10.4858087161,331.02994865681995,792.36491467368,6202.623232269751,8.2,2116.2233768728497,4961.19940378704,105.21473684310001,453.8557682373,1633.6900100343498,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,4623.502141446859,3373.59101575,3831.27298042371,7810.94882527185,1557.9295515333001,11541.9716300622,6826.1218899015,10.4858087161,331.02994865681995,792.36491467368,6202.623232269751,8.2,2116.2233768728497,4999.43440378704,102.8353581252,453.8557682373,1633.6900100343498,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,4623.502141446859,3373.59101575,3831.27298042371,7769.0226827724,1557.9295515333001,10293.2890216279,6677.9718896052,10.4858087161,331.02994865681995,792.36491467368,6202.623232269751,8.2,2116.2233768728497,5468.09264949588,102.8353581252,453.8557682373,1633.6900100343498,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,4623.502141446859,3373.59101575,3831.27298042371,8254.8726827724,1557.9295515333001,10753.3384481219,7514.5836546771,10.4858087161,331.02994865681995,792.36491467368,6202.623232269751,8.2,2116.2233768728497,5468.09264949588,108.23535812520001,453.8557682373,1633.6900100343498,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,4628.94471264169,3556.73916383,3869.44963608246,7769.0226827724,1557.9295515333001,10753.3384481219,7314.5811546771,10.4858087161,331.02994865681995,651.96098038284,6202.623232269751,8.2,2116.2233768728497,5926.91264949588,108.23535812520001,453.8557682373,1633.6900100343498,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,4628.94471264169,3556.73916383,3869.44963608246,7840.50168055215,1557.9295515333001,10753.3384481219,6730.3225253133,10.4858087161,331.02994865681995,651.96098038284,6131.67323226975,8.2,2116.2233768728497,6232.79264949588,108.23535812520001,453.8557682373,431.24001003434995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,4628.94471264169,3326.73916383,3869.44963608246,7817.88563026965,1557.9295515333001,10753.3384481219,6730.3225253133,10.4858087161,331.02994865681995,651.96098038284,6131.67323226975,8.2,2116.2233768728497,6538.67264949588,108.23535812520001,453.8557682373,1633.6900100343498,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,4628.94471264169,3361.32563003,3869.44963608246,7791.28035794865,1557.9295515333001,10568.4039544114,6730.3225253133,10.4858087161,331.02994865681995,651.96098038284,6131.67323226975,8.2,2116.2233768728497,6759.57403447668,107.9147368431,453.8557682373,1633.6900100343498,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,4628.94471264169,3380.59937312,3831.27298042371,7742.3623306086,1529.31305155695,10343.3936119537,6730.3225253133,10.4858087161,331.02994865681995,651.96098038284,6238.09823226975,8.2,2116.2233768728497,6759.57403447668,107.9147368431,453.8557682373,1633.6900100343498,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,4628.94471264169,3380.59937312,3859.9932460065,7742.3623306086,1529.31305155695,10343.3936119537,6730.3225253133,10.4858087161,331.02994865681995,651.96098038284,6379.998232269751,8.2,2116.2233768728497,8327.1426842106,107.9147368431,453.8557682373,431.24001003434995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,4628.94471264169,3869.88314585,3904.75724589459,7829.97462576225,1529.31305155695,10387.920278843,6939.2194653813,10.4858087161,331.02994865681995,651.96098038284,6521.89823226975,8.2,2116.2233768728497,8359.91554130976,107.9147368431,453.8557682373,1633.6900100343498,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,4634.422806577059,3869.88314585,4375.72387798077,7848.3085879989,1529.31305155695,10387.920278843,6759.7027530059995,10.4858087161,331.02994865681995,651.96098038284,6663.79823226975,8.2,2116.2233768728497,8665.79554130976,110.6147368431,453.8557682373,1633.6900100343498,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,4634.422806577059,3865.50753615,4375.72387798077,8312.652149154,1529.31305155695,11069.0370306831,6759.7027530059995,10.4858087161,331.02994865681995,651.96098038284,6663.79823226975,8.2,2187.3894528953597,8665.79554130976,110.6147368431,453.8557682373,1633.6900100343498,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,4634.422806577059,3854.51241421,4462.72367877126,8312.652149154,1529.31305155695,11097.1000560784,6759.7027530059995,10.4858087161,331.02994865681995,651.96098038284,6521.89823226975,8.2,2187.3894528953597,8464.848645867,110.6147368431,453.8557682373,1633.6900100343498,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,4628.94471264169,3911.0614444800003,4546.93318388685,8376.45063385035,1529.31305155695,11209.8420088776,6759.7027530059995,10.4858087161,331.02994865681995,651.96098038284,6309.04823226975,8.2,2187.3894528953597,7241.328645867,110.6147368431,453.8557682373,1633.6900100343498,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,4628.94471264169,3905.22729806,4546.93318388685,8277.71652917175,1529.31305155695,10513.8789834823,6759.7027530059995,10.4858087161,331.02994865681995,651.96098038284,6167.14823226975,8.2,2187.3894528953597,7241.328645867,110.6147368431,453.8557682373,1633.6900100343498,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,4674.32591868669,3892.6852623600003,4459.933383096361,8038.640205008101,1529.31305155695,11137.252316593,6594.7884107136,10.4858087161,331.02994865681995,651.96098038284,6167.14823226975,8.2,2187.3894528953597,6902.67578876784,110.6147368431,453.8557682373,431.24001003434995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
