Raw_Output_Name,Output_Name,RawBusNum,Bus,PlantNames,Fuel,GenFuelType,Max_Cap,Min_Cap,gen_categ,ClassCategory,SourceRowCount,SourceRawRowIDs,SourceBusNames,SourceBusAreaNames
BUCKSPORT_NG_Maine,BUCKSPORT_NG_Maine,845,845,BUCKSPORT_NG_Maine,NG (Natural Gas),Gas,186.8,36.02,100_200,Gas_100_200,1,0,BUCKSPORT 4 3,Maine
YARMOUTH_O_Maine,YARMOUTH_O_Maine,850,850,YARMOUTH_O_Maine,DFO (Distillate Fuel Oil),Oil,211.5,83.04,200_300,Oil_200_300,1,1,YARMOUTH 4 3,Maine
YARMOUTH_O_Maine_2,YARMOUTH_O_Maine_2,851,851,YARMOUTH_O_Maine,DFO (Distillate Fuel Oil),Oil,211.5,80.7,200_300,Oil_200_300,1,2,YARMOUTH 4 4,Maine
YARMOUTH_O_Maine_3,YARMOUTH_O_Maine_3,852,852,YARMOUTH_O_Maine,DFO (Distillate Fuel Oil),Oil,211.5,40.64,200_300,Oil_200_300,1,3,YARMOUTH 4 5,Maine
YARMOUTH_O_Maine_4,YARMOUTH_O_Maine_4,853,853,YARMOUTH_O_Maine,DFO (Distillate Fuel Oil),Oil,211.5,104.92,200_300,Oil_200_300,1,4,YARMOUTH 4 6,Maine
MADISON_NG_Maine,MADISON_NG_Maine,859,859,MADISON_NG_Maine,NG (Natural Gas),Gas,3.0,1.21,below_50,Gas_below_50,1,11,MADISON 2 2,Maine
RUMFORD_NG_Maine,RUMFORD_NG_Maine,881,881,RUMFORD_NG_Maine,NG (Natural Gas),Gas,137.25,68.21,100_200,Gas_100_200,1,19,RUMFORD 3 4,Maine
RUMFORD_NG_Maine_5,RUMFORD_NG_Maine_5,882,882,RUMFORD_NG_Maine,NG (Natural Gas),Gas,137.25,47.32,100_200,Gas_100_200,1,20,RUMFORD 3 5,Maine
SOUTHPORTLAND_O_Maine,SOUTHPORTLAND_O_Maine,962,962,SOUTHPORTLAND_O_Maine,DFO (Distillate Fuel Oil),Oil,17.5,3.65,below_50,Oil_below_50,1,71,SOUTH PORTLAND 5 2,Maine
SOUTHPORTLAND_O_Maine_6,SOUTHPORTLAND_O_Maine_6,962,962,SOUTHPORTLAND_O_Maine,DFO (Distillate Fuel Oil),Oil,17.5,8.01,below_50,Oil_below_50,1,72,SOUTH PORTLAND 5 2,Maine
PRESQUEISLE_O_Maine,PRESQUEISLE_O_Maine,1017,1017,PRESQUEISLE_O_Maine,DFO (Distillate Fuel Oil),Oil,2.0,0.31,below_50,Oil_below_50,1,98,PRESQUE ISLE 4 1,Maine
PRESQUEISLE_O_Maine_7,PRESQUEISLE_O_Maine_7,1018,1018,PRESQUEISLE_O_Maine,DFO (Distillate Fuel Oil),Oil,2.0,0.56,below_50,Oil_below_50,1,99,PRESQUE ISLE 4 2,Maine
PRESQUEISLE_O_Maine_8,PRESQUEISLE_O_Maine_8,1018,1018,PRESQUEISLE_O_Maine,DFO (Distillate Fuel Oil),Oil,2.0,0.54,below_50,Oil_below_50,1,100,PRESQUE ISLE 4 2,Maine
BANGOR_NG_Maine,BANGOR_NG_Maine,1023,1023,BANGOR_NG_Maine,NG (Natural Gas),Gas,183.4,45.75,100_200,Gas_100_200,1,101,BANGOR 5 3,Maine
BANGOR_NG_Maine_9,BANGOR_NG_Maine_9,1024,1024,BANGOR_NG_Maine,NG (Natural Gas),Gas,183.4,73.33,100_200,Gas_100_200,1,102,BANGOR 5 4,Maine
BANGOR_NG_Maine_10,BANGOR_NG_Maine_10,1025,1025,BANGOR_NG_Maine,NG (Natural Gas),Gas,183.4,78.84,100_200,Gas_100_200,1,103,BANGOR 5 5,Maine
JAY_NG_Maine,JAY_NG_Maine,1044,1044,JAY_NG_Maine,NG (Natural Gas),Gas,54.5,20.46,50_100,Gas_50_100,1,113,JAY 6 1,Maine
JAY_NG_Maine_11,JAY_NG_Maine_11,1044,1044,JAY_NG_Maine,NG (Natural Gas),Gas,54.5,19.31,50_100,Gas_50_100,1,114,JAY 6 1,Maine
JAY_NG_Maine_12,JAY_NG_Maine_12,1044,1044,JAY_NG_Maine,NG (Natural Gas),Gas,54.5,22.97,50_100,Gas_50_100,1,115,JAY 6 1,Maine
RUMFORD_O_Maine,RUMFORD_O_Maine,1057,1057,RUMFORD_O_Maine,DFO (Distillate Fuel Oil),Oil,12.5,4.67,below_50,Oil_below_50,1,118,RUMFORD 5 2,Maine
EASTPORT_O_Maine,EASTPORT_O_Maine,1074,1074,EASTPORT_O_Maine,DFO (Distillate Fuel Oil),Oil,2.0,0.92,below_50,Oil_below_50,1,131,EASTPORT 2 1,Maine
MEDWAY_O_Maine,MEDWAY_O_Maine,1085,1085,MEDWAY_O_Maine,DFO (Distillate Fuel Oil),Oil,2.0,0.67,below_50,Oil_below_50,1,140,MEDWAY 1 1,Maine
MEDWAY_O_Maine_13,MEDWAY_O_Maine_13,1085,1085,MEDWAY_O_Maine,DFO (Distillate Fuel Oil),Oil,2.0,0.28,below_50,Oil_below_50,1,141,MEDWAY 1 1,Maine
MEDWAY_O_Maine_14,MEDWAY_O_Maine_14,1085,1085,MEDWAY_O_Maine,DFO (Distillate Fuel Oil),Oil,2.0,0.51,below_50,Oil_below_50,1,142,MEDWAY 1 1,Maine
MEDWAY_O_Maine_15,MEDWAY_O_Maine_15,1085,1085,MEDWAY_O_Maine,DFO (Distillate Fuel Oil),Oil,2.0,0.75,below_50,Oil_below_50,1,143,MEDWAY 1 1,Maine
SEARSMONT_O_Maine,SEARSMONT_O_Maine,1104,1104,SEARSMONT_O_Maine,DFO (Distillate Fuel Oil),Oil,2.0,0.84,below_50,Oil_below_50,1,157,SEARSMONT 1,Maine
RUMFORD_C_Maine,RUMFORD_C_Maine,1118,1118,RUMFORD_C_Maine,BIT (Bituminous Coal),Coal,102.6,17.51,100_200,Coal_100_200,1,165,RUMFORD 6 4,Maine
WESTBROOK_NG_Maine,WESTBROOK_NG_Maine,1157,1157,WESTBROOK_NG_Maine,NG (Natural Gas),Gas,187.97,36.73,100_200,Gas_100_200,1,199,WESTBROOK 5 4,Maine
WESTBROOK_NG_Maine_16,WESTBROOK_NG_Maine_16,1158,1158,WESTBROOK_NG_Maine,NG (Natural Gas),Gas,187.97,86.98,100_200,Gas_100_200,1,200,WESTBROOK 5 5,Maine
WESTBROOK_NG_Maine_17,WESTBROOK_NG_Maine_17,1159,1159,WESTBROOK_NG_Maine,NG (Natural Gas),Gas,187.97,44.4,100_200,Gas_100_200,1,201,WESTBROOK 5 6,Maine
BUCKSPORT_NG_Maine_18,BUCKSPORT_NG_Maine_18,1168,1168,BUCKSPORT_NG_Maine,NG (Natural Gas),Gas,37.2,11.09,below_50,Gas_below_50,1,203,BUCKSPORT 5 2,Maine
BUCKSPORT_NG_Maine_19,BUCKSPORT_NG_Maine_19,1168,1168,BUCKSPORT_NG_Maine,NG (Natural Gas),Gas,37.2,4.55,below_50,Gas_below_50,1,204,BUCKSPORT 5 2,Maine
BUCKSPORT_NG_Maine_20,BUCKSPORT_NG_Maine_20,1169,1169,BUCKSPORT_NG_Maine,NG (Natural Gas),Gas,37.2,4.72,below_50,Gas_below_50,1,205,BUCKSPORT 5 3,Maine
CARIBOU_O_Maine,CARIBOU_O_Maine,1177,1177,CARIBOU_O_Maine,DFO (Distillate Fuel Oil),Oil,4.43,0.82,below_50,Oil_below_50,1,212,CARIBOU 4 4,Maine
CARIBOU_O_Maine_21,CARIBOU_O_Maine_21,1177,1177,CARIBOU_O_Maine,DFO (Distillate Fuel Oil),Oil,4.43,1.33,below_50,Oil_below_50,1,213,CARIBOU 4 4,Maine
CARIBOU_O_Maine_22,CARIBOU_O_Maine_22,1178,1178,CARIBOU_O_Maine,DFO (Distillate Fuel Oil),Oil,4.43,1.85,below_50,Oil_below_50,1,214,CARIBOU 4 5,Maine
