Number,Name,AreaName,Nom kV,Vpu,kV,Vangle,Load MW,LoadMvar,GenMW,GenMvar,ShuntMvar,ActG,ActB,AreaNumber,ZoneNumber,Substation Longitude,Substation Latitude
1,AUBURN 1 1,Maine,230,1.03511,238.075,-128.01,,,,,-91.46,0,0,1,1,-70.21385227,43.97248918
2,AUBURN 1 2,Maine,115,1.03706,119.262,-128.86,,,,,,0,0,1,1,-70.21385227,43.96938011
3,AUBURN 1 3,Maine,18,1.03293,18.593,-130.4,9.97,1.3,,,,0,0,1,1,-70.20449227,43.9682919
4,AUBURN 1 4,Maine,1,1.03744,1.037,-128.92,,,,,,0,0,1,1,-70.20665227,43.96782551
5,AUBURN 1 5,Maine,230,1.03607,238.297,-128,,,,,,0,0,1,1,-70.20665227,43.97300734
6,AUBURN 1 7,Maine,230,1.03511,238.075,-128.01,,,,,,0,0,1,1,-70.20665227,43.97041648
7,AUBURN 2 1,Maine,230,1.04233,239.735,-127.64,,,,,,0,0,1,1,-70.3010032,44.09737263
8,AUBURN 2 2,Maine,115,1.04348,120.001,-128.22,,,,,,0,0,1,1,-70.2966832,44.09633847
9,AUBURN 2 3,Maine,230,1.04224,239.715,-127.65,11.48,5.89,,,,0,0,1,1,-70.2966832,44.09840676
10,AUBURN 3 1,Maine,115,1.04095,119.71,-128.16,9.97,0.92,,,,0,0,1,1,-70.18239756,44.17681487
11,AUBURN 4 1,Maine,115,1.04116,119.734,-128.12,9.97,4.3,,,,0,0,1,1,-70.22045694,44.14022149
12,DURHAM 1 1,Maine,115,1.04266,119.906,-128.29,3.06,0.73,,,,0,0,1,1,-70.17689161,44.01764028
13,GREENE 1 1,Maine,115,1.04938,120.679,-127.73,2.51,1.41,,,,0,0,1,1,-70.19444242,44.24563744
14,GREENE 1 2,Maine,115,1.0494,120.681,-127.73,,,,,,0,0,1,1,-70.19012242,44.24512166
15,GREENE 2 1,Maine,115,1.04054,119.662,-128.06,3.04,1.32,,,,0,0,1,1,-70.11859104,44.22700511
16,GREENE 3 1,Maine,115,1.04037,119.642,-127.99,2.51,0.45,,,,0,0,1,1,-70.08580364,44.25365192
17,LEEDS 1 1,Maine,115,1.0399,119.589,-127.66,,,,,,0,0,1,1,-70.09547386,44.33666986
18,LEEDS 1 2,Maine,115,1.03989,119.587,-127.66,5.61,0.47,,,,0,0,1,1,-70.09115386,44.33718483
19,LEWISTON 1 1,Maine,115,1.04332,119.982,-128.19,,,,,,0,0,1,1,-70.15065995,44.09575094
20,LEWISTON 1 2,Maine,115,1.04327,119.977,-128.2,15.83,0.97,,,,0,0,1,1,-70.14633995,44.09626803
21,LEWISTON 2 1,Maine,230,1.03988,239.173,-127.6,,,,,,0,0,1,1,-70.13469928,44.07442926
22,LEWISTON 2 2,Maine,115,1.044,120.06,-128.24,19.56,4.22,,,,0,0,1,1,-70.13469928,44.07132553
23,LEWISTON 2 3,Maine,230,1.04014,239.233,-127.6,,,,,,0,0,1,1,-70.13037928,44.07391198
24,LEWISTON 3 1,Maine,230,1.04084,239.392,-127.6,,,,,,0,0,1,1,-70.07802873,44.12422218
25,LEWISTON 3 2,Maine,115,1.04135,119.755,-128.16,18.59,5.86,,,,0,0,1,1,-70.07802873,44.12112106
26,LEWISTON 3 3,Maine,230,1.04097,239.423,-127.59,,,,,,0,0,1,1,-70.07370873,44.12422218
27,LEWISTON 4 1,Maine,230,1.04254,239.784,-127.54,,,,,,0,0,1,1,-70.21928595,44.162328
28,LEWISTON 4 2,Maine,115,1.04105,119.721,-128.12,15.83,4.34,,,,0,0,1,1,-70.21928595,44.15922888
29,LEWISTON 4 3,Maine,230,1.04261,239.8,-127.53,,,,,,0,0,1,1,-70.21496595,44.16181149
30,LISBON 1 1,Maine,115,1.04009,119.61,-128.83,2.44,1.3,,,,0,0,1,1,-70.09988546,43.94691113
31,LISBON 2 1,Maine,115,1.04079,119.691,-128.39,,,,,,0,0,1,1,-70.10976528,44.02140123
32,LISBON 2 2,Maine,115,1.04079,119.69,-128.39,2.44,0.18,,,,0,0,1,1,-70.10544528,44.0224367
33,LISBON 3 1,Maine,115,1.04245,119.882,-128.31,2.44,1.06,,,,0,0,1,1,-70.14619104,44.03659058
34,LISBON 3 2,Maine,115,1.04247,119.884,-128.31,,,,,,0,0,1,1,-70.14187104,44.03555537
35,LISBON FALLS 1 1,Maine,115,1.04034,119.64,-128.51,,,,,,0,0,1,1,-70.09821501,43.98252802
36,LISBON FALLS 1 2,Maine,115,1.04032,119.637,-128.51,4.99,0.91,,,,0,0,1,1,-70.09389501,43.98304609
37,LISBON FALLS 2 1,Maine,115,1.03957,119.551,-128.35,2.77,0.82,,,,0,0,1,1,-70.03424651,44.04666438
