wkt_geom,name,folders,Substation Longitude,Substation Latitude,Number
PointZ (-77.47461585792460426 40.93616846992519953 0),AARONSBURG 1,Buses,-77.47461586,40.93616847,12354
PointZ (-82.38360861285349301 34.16672286058739871 0),ABBEVILLE 1 1,Buses,-82.38360861,34.16672286,22333
PointZ (-82.37928861285350024 34.16374414215179911 0),ABBEVILLE 1 2,Buses,-82.37928861,34.16374414,22334
PointZ (-82.37928861285350024 34.16731859036870134 0),ABBEVILLE 1 3,Buses,-82.37928861,34.16731859,22335
PointZ (-92.22913121294089933 29.8662361917292003 0),ABBEVILLE 10 1,Buses,-92.22913121,29.86623619,60842
PointZ (-92.19517695784850275 29.84437886765190129 0),ABBEVILLE 11 1,Buses,-92.19517696,29.84437887,60843
PointZ (-92.19085695784849577 29.8418807812649014 0),ABBEVILLE 11 2,Buses,-92.19085696,29.84188078,60844
PointZ (-92.19085695784849577 29.84500337835540051 0),ABBEVILLE 11 3,Buses,-92.19085696,29.84500338,60845
PointZ (-82.45938369227769726 34.24844245745509852 0),ABBEVILLE 2 1,Buses,-82.45938369,34.24844246,22336
PointZ (-82.45506369227770449 34.25022790218889668 0),ABBEVILLE 2 2,Buses,-82.45506369,34.2502279,22337
PointZ (-82.35409382092349517 34.43378703033830135 0),ABBEVILLE 3 1,Buses,-82.35409382,34.43378703,23408
PointZ (-82.35409382092349517 34.42784840409350267 0),ABBEVILLE 3 2,Buses,-82.35409382,34.4278484,23409
PointZ (-82.35625382092349867 34.42541343976390067 0),ABBEVILLE 3 3,Buses,-82.35625382,34.42541344,23410
PointZ (-82.34689382092349774 34.43438086889590011 0),ABBEVILLE 3 4,Buses,-82.34689382,34.43438087,23411
PointZ (-82.34689382092349774 34.43141162746650252 0),ABBEVILLE 3 6,Buses,-82.34689382,34.43141163,23412
PointZ (-83.35192856042479548 31.98639729841569945 0),ABBEVILLE 4 1,Buses,-83.35192856,31.9863973,25517
PointZ (-85.17792880188869731 31.57668173176319826 0),ABBEVILLE 5 1,Buses,-85.1779288,31.57668173,29084
PointZ (-85.24101882562760579 31.58364082531889849 0),ABBEVILLE 6 1,Buses,-85.24101883,31.58364083,29085
PointZ (-85.23021882562760254 31.5851741876456984 0),ABBEVILLE 6 2,Buses,-85.23021883,31.58517419,29086
PointZ (-89.50248850875449591 34.44990019447340046 0),ABBEVILLE 7 1,Buses,-89.50248851,34.44990019,30498
PointZ (-89.50788850875450464 34.44084535712639905 0),ABBEVILLE 7 2,Buses,-89.50788851,34.44084536,30499
PointZ (-89.50788850875450464 34.43787634646260187 0),ABBEVILLE 7 3,Buses,-89.50788851,34.43787635,30500
PointZ (-89.50248850875449591 34.43950931914280034 0),ABBEVILLE 7 4,Buses,-89.50248851,34.43950932,30501
PointZ (-89.48448850875449523 34.45138449665620328 0),ABBEVILLE 7 5,Buses,-89.48448851,34.4513845,30502
PointZ (-89.48448850875449523 34.44396270585139774 0),ABBEVILLE 7 7,Buses,-89.48448851,34.44396271,30503
PointZ (-92.16145058668189449 29.88246067643699888 0),ABBEVILLE 8 1,Buses,-92.16145059,29.88246068,60838
PointZ (-92.15713058668190172 29.88308494885290045 0),ABBEVILLE 8 2,Buses,-92.15713059,29.88308495,60839
PointZ (-92.17935750159070096 29.86334031770140029 0),ABBEVILLE 9 1,Buses,-92.1793575,29.86334032,60840
PointZ (-92.17503750159069398 29.86396470979279982 0),ABBEVILLE 9 2,Buses,-92.1750375,29.86396471,60841
PointZ (-69.59932561397970119 45.34893645800570283 0),ABBOT 1,Buses,-69.59932561,45.34893646,586
PointZ (-90.31707262207309839 45.03238665450079736 0),ABBOTSFORD 1,Buses,-90.31707262,45.03238665,46982
PointZ (-90.30627262207309514 45.03365871061480163 0),ABBOTSFORD 2,Buses,-90.30627262,45.03365871,46983
PointZ (-76.20192207515610505 39.58694352925630255 0),ABERDEEN 1 1,Buses,-76.20192208,39.58694353,16860
PointZ (-98.57338099097700024 45.47714335132639718 0),ABERDEEN 10 1,Buses,-98.57338099,45.47714335,68003
PointZ (-98.56258099097699699 45.47335677562440281 0),ABERDEEN 10 2,Buses,-98.56258099,45.47335678,68004
PointZ (-98.56258099097699699 45.4809296634624971 0),ABERDEEN 10 3,Buses,-98.56258099,45.48092966,68005
PointZ (-98.51414622480250216 45.48198287111350169 0),ABERDEEN 11 1,Buses,-98.51414622,45.48198287,68006
PointZ (-98.49614622480250148 45.4756723183632019 0),ABERDEEN 11 2,Buses,-98.49614622,45.47567232,68007
