,"Southern Company Services, Inc. - Trans",ISO New England,"Midcontinent Independent System Operator, Inc.","PJM Interconnection, LLC","Alcoa Power Generating, Inc. - Yadkin Division","Associated Electric Cooperative, Inc.",City of Homestead,City of Tallahassee,Duke Energy Carolinas,"Duke Energy Florida, Inc.",Duke Energy Progress East,Duke Energy Progress West,"Electric Energy, Inc.",Florida Municipal Power Pool,Florida Power & Light Co.,Gainesville Regional Utilities,"Gridforce Energy Management, LLC",JEA,Louisville Gas and Electric Company and Kentucky Utilities Company,Utilities Commission of New Smyrna Beach,New York Independent System Operator,NorthWestern Corporation,Ohio Valley Electric Corporation,PowerSouth Energy Cooperative,Public Service Company of New Mexico,Seminole Electric Cooperative,"Dominion Energy South Carolina, Inc.",South Carolina Public Service Authority,Southeastern Power Administration,Southwest Power Pool,Southwestern Power Administration,Tampa Electric Company,Tennessee Valley Authority,Western Area Power Administration - Rocky Mountain Region,Western Area Power Administration - Upper Great Plains West,New Brunswick System Operator,"Electric Reliability Council of Texas, Inc."
0,2.4425,4.0409189332441695,2.516079364047123,1.995022962576748,2.4962385461768233,2.5551913586649815,2.6062033859682274,2.5119660381366287,2.491244191107003,2.5542894699488503,2.5380466281811485,2.481010988965836,2.530961621480242,2.5775974002232944,2.5821783091299673,2.546515795842673,2.6135917568132196,2.5175770688242505,2.4850294841596248,2.5676468203959493,3.023283402641035,2.6669033092860803,2.360886535770699,2.480886487242786,2.6257083409355584,2.5527608592168036,2.5280679241967077,2.5319175099581765,2.4912523217916096,2.5916153471244936,2.5443190829843,2.569803949182969,2.511399631468982,2.6310431016011093,2.661881375260859,3.436544105585369,2.5976091645916606
1,2.495,4.192657065049783,2.5698452159662573,2.073831260743382,2.574073379349782,2.6220072817132123,2.681182162696307,2.5763662487741215,2.566889311427918,2.624382180975239,2.6173323693518418,2.555143591554903,2.601230706384463,2.650260230731406,2.6551709168748596,2.6159675457743408,2.687005002587026,2.5829921588317295,2.5590683558588543,2.6396348443485866,3.128077215000174,2.7443627990552577,2.4395566299265745,2.5402615116130103,2.700160273047503,2.6226939286913113,2.600793351652067,2.606407106297722,2.552433344127187,2.6615763757503457,2.6135372313348952,2.641413564869203,2.580037642751944,2.705348542256826,2.738840151751644,3.558754979241637,2.670224316644765
2,2.5475000000000003,4.344395196855396,2.6236110678853914,2.1526395589100176,2.651908212522741,2.6888232047614427,2.756160939424387,2.6407664594116147,2.6425344317488335,2.6944748920016277,2.696618110522535,2.62927619414397,2.671499791288684,2.722923061239517,2.7281635246197524,2.6854192957060095,2.7604182483608324,2.6484072488392094,2.6331072275580842,2.711622868301224,3.232871027359313,2.8218222888244355,2.5182267240824494,2.599636535983235,2.7746122051594493,2.692626998165819,2.673518779107426,2.680896702637268,2.613614366462765,2.7315374043761973,2.68275537968549,2.7130231805554375,2.648675654034906,2.779653982912543,2.815798928242429,3.680965852897907,2.7428394686978685
3,2.6,4.496133328661008,2.677376919804525,2.231447857076652,2.7297430456956993,2.7556391278096726,2.8311397161524665,2.705166670049107,2.7181795520697483,2.7645676030280155,2.775903851693228,2.703408796733037,2.7417688761929044,2.7955858917476286,2.801156132364644,2.754871045637678,2.8338314941346385,2.713822338846688,2.7071460992573133,2.7836108922538605,3.337664839718451,2.8992817785936116,2.596896818238324,2.6590115603534583,2.8490641372713936,2.762560067640327,2.7462442065627846,2.755386298976813,2.6747953887983424,2.801498433002049,2.751973528036084,2.784632796241671,2.717313665317868,2.8539594235682593,2.892757704733213,3.8031767265541743,2.8154546207509723
4,2.77,4.987475850698231,2.851475868876006,2.4866366320924205,2.9817796483509937,2.971995450061084,3.0739281360338664,2.9137006854467025,2.963125655966044,2.9915344768277485,3.0326386326269006,2.943457224164301,2.969306865406571,3.030875057202465,3.0375131479195323,2.9797624263687936,3.0715505756879162,2.9256426302994774,2.946891017140532,3.016714969814779,3.676997184500423,3.15010298356047,2.8516380755049653,2.851273544028469,3.090146584110073,2.989010006891114,2.9817360668944226,2.996590706171532,2.872905365884974,3.028038906647663,2.976108484599914,3.0165115517970946,2.939570082805554,3.094567517120103,3.141957552417659,4.198907174583997,3.050589398827688
5,2.76,4.958573349401922,2.8412347542247423,2.4716255276797274,2.966953965841858,2.9592686075757064,3.059646464276137,2.9014339786586083,2.9487170616192024,2.9781834842512938,3.0175365866896255,2.9293367284330496,2.9559222778057666,3.017034518058062,3.023609794063362,2.9665335216199042,3.057567100302429,2.9131826131551954,2.932788374912107,3.0030029652523718,3.6570364583367763,3.1353487950330075,2.8366532956657506,2.8399640155769976,3.075965263707797,2.975689422229302,2.9678836045219725,2.9824022116306654,2.861251837821054,3.0147129964332153,2.9629240753902764,3.002871624999716,2.9264961758945134,3.080414099852347,3.127298737847985,4.175628912935183,3.0367579412937635
6,2.81,5.103085855883459,2.8924403274810606,2.54668104974319,3.0410823783875336,3.0229028200025927,3.1310548230647846,2.962767512599078,3.0207600333534077,3.0449384471335685,3.0930468163760003,2.9999392070893043,3.0228452158097863,3.0862372137800738,3.0931265633442124,3.0326780453643507,3.1274844772298644,2.9754826988766045,3.0033015860542305,3.0715629880644073,3.756840089155004,3.2091197376703193,2.911577194861823,2.8965116578343544,3.1468718657191745,3.0422923455383577,3.03714591638422,3.053344684334995,2.919519478140652,3.0813425475054554,3.0288461214384625,3.0710712589866063,2.9918657104497157,3.151181186191125,3.200592810696352,4.292020221179249,3.105915228963387
7,2.77,4.987475850698231,2.851475868876006,2.4866366320924205,2.9817796483509937,2.971995450061084,3.0739281360338664,2.9137006854467025,2.963125655966044,2.9915344768277485,3.0326386326269006,2.943457224164301,2.969306865406571,3.030875057202465,3.0375131479195323,2.9797624263687936,3.0715505756879162,2.9256426302994774,2.946891017140532,3.016714969814779,3.676997184500423,3.15010298356047,2.8516380755049653,2.851273544028469,3.090146584110073,2.989010006891114,2.9817360668944226,2.996590706171532,2.872905365884974,3.028038906647663,2.976108484599914,3.0165115517970946,2.939570082805554,3.094567517120103,3.141957552417659,4.198907174583997,3.050589398827688
8,2.75,4.929670848105616,2.830993639573479,2.456614423267036,2.9521282833327236,2.9465417650903296,3.0453647925184075,2.8891672718705146,2.934308467272362,2.964832491674839,3.002434540752351,2.915216232701799,2.942537690204963,3.003193978913661,3.009706440207193,2.9533046168710158,3.0435836249169426,2.900722596010914,2.9186857326836826,2.9892909606899654,3.6370757321731317,3.1205946065055454,2.8216685158265373,2.828654487125527,3.0617839433055223,2.9623688375674915,2.954031142149524,2.9682137170898004,2.8495983097571354,3.0013870862187675,2.9497396661806397,2.989231698202339,2.9134222689834735,3.066260682584592,3.112639923278312,4.15235065128637,3.0229264837598397
9,2.73,4.8718658455130015,2.810511410270952,2.426592214441651,2.9224769183144534,2.921088080119575,3.0168014490029487,2.8646338582943267,2.90549127857868,2.938130506521929,2.972230448877801,2.8869752412392975,2.915768515003355,2.975512900624856,2.9818997324948526,2.926846807373237,3.0156166741459685,2.8758025617223506,2.890480448226833,2.9618669515651512,3.5971542798458405,3.091086229450621,2.7916989561481085,2.8060354302225843,3.0334213025009715,2.9357276682438695,2.9263262174046254,2.939836728008068,2.8262912536292957,2.974735265789872,2.9233708477613654,2.961951844607583,2.8872744551613927,3.0379538480490806,3.0833222941389655,4.105794127988744,2.995263568691991
