,Type
0,NG (Natural Gas)
1,NUC (Nuclear)
2,SUN (Solar)
3,SUN (Solar)
4,SUN (Solar)
5,NG (Natural Gas)
6,NG (Natural Gas)
7,NG (Natural Gas)
8,SUN (Solar)
9,SUN (Solar)
10,NG (Natural Gas)
11,NG (Natural Gas)
12,NG (Natural Gas)
13,SUN (Solar)
14,SUN (Solar)
15,NG (Natural Gas)
16,NG (Natural Gas)
17,NG (Natural Gas)
18,SUN (Solar)
19,DFO (Distillate Fuel Oil)
20,SUN (Solar)
21,NG (Natural Gas)
22,SUN (Solar)
23,SUN (Solar)
24,SUN (Solar)
25,SUN (Solar)
26,NG (Natural Gas)
27,SUN (Solar)
28,SUN (Solar)
29,SUN (Solar)
30,NG (Natural Gas)
31,SUN (Solar)
32,NG (Natural Gas)
33,NG (Natural Gas)
34,SUN (Solar)
35,SUN (Solar)
36,NG (Natural Gas)
37,SUN (Solar)
38,NG (Natural Gas)
39,SUN (Solar)
40,NG (Natural Gas)
41,SUN (Solar)
42,SUN (Solar)
43,SUN (Solar)
44,NG (Natural Gas)
45,SUN (Solar)
46,DFO (Distillate Fuel Oil)
47,NG (Natural Gas)
48,SUN (Solar)
49,NG (Natural Gas)
50,SUN (Solar)
51,WAT (Water)
52,NG (Natural Gas)
53,BIT (Bituminous Coal)
54,BIT (Bituminous Coal)
55,WAT (Water)
56,DFO (Distillate Fuel Oil)
57,NG (Natural Gas)
58,SUN (Solar)
59,DFO (Distillate Fuel Oil)
60,DFO (Distillate Fuel Oil)
61,SUN (Solar)
62,NG (Natural Gas)
63,SUN (Solar)
64,BIT (Bituminous Coal)
65,NG (Natural Gas)
66,DFO (Distillate Fuel Oil)
67,SUN (Solar)
68,NG (Natural Gas)
69,SUN (Solar)
70,SUN (Solar)
71,NG (Natural Gas)
72,BIT (Bituminous Coal)
73,DFO (Distillate Fuel Oil)
74,NG (Natural Gas)
75,DFO (Distillate Fuel Oil)
76,WND (Wind)
77,SUN (Solar)
78,NUC (Nuclear)
79,NG (Natural Gas)
80,WND (Wind)
81,SUN (Solar)
82,DFO (Distillate Fuel Oil)
83,NG (Natural Gas)
84,NUC (Nuclear)
85,SUN (Solar)
86,NG (Natural Gas)
87,NG (Natural Gas)
88,DFO (Distillate Fuel Oil)
89,BIT (Bituminous Coal)
90,DFO (Distillate Fuel Oil)
91,NG (Natural Gas)
92,WAT (Water)
93,DFO (Distillate Fuel Oil)
94,DFO (Distillate Fuel Oil)
95,BIT (Bituminous Coal)
96,BIT (Bituminous Coal)
97,DFO (Distillate Fuel Oil)
98,NUC (Nuclear)
99,BIT (Bituminous Coal)
100,DFO (Distillate Fuel Oil)
101,NG (Natural Gas)
102,DFO (Distillate Fuel Oil)
103,WND (Wind)
104,NG (Natural Gas)
105,NG (Natural Gas)
106,BIT (Bituminous Coal)
107,DFO (Distillate Fuel Oil)
108,BIT (Bituminous Coal)
109,WND (Wind)
110,WAT (Water)
111,BIT (Bituminous Coal)
112,DFO (Distillate Fuel Oil)
113,NG (Natural Gas)
114,NG (Natural Gas)
115,WND (Wind)
116,WND (Wind)
117,WAT (Water)
118,DFO (Distillate Fuel Oil)
119,WND (Wind)
120,DFO (Distillate Fuel Oil)
121,DFO (Distillate Fuel Oil)
122,DFO (Distillate Fuel Oil)
123,NG (Natural Gas)
124,BIT (Bituminous Coal)
125,NG (Natural Gas)
126,DFO (Distillate Fuel Oil)
127,WAT (Water)
128,BIT (Bituminous Coal)
129,BIT (Bituminous Coal)
130,NG (Natural Gas)
131,BIT (Bituminous Coal)
132,WND (Wind)
133,BIT (Bituminous Coal)
134,WAT (Water)
135,BIT (Bituminous Coal)
136,WAT (Water)
137,WND (Wind)
138,WND (Wind)
139,BIT (Bituminous Coal)
140,WAT (Water)
141,WND (Wind)
142,WND (Wind)
143,WND (Wind)
144,WND (Wind)
145,NG (Natural Gas)
146,DFO (Distillate Fuel Oil)
147,BIT (Bituminous Coal)
148,BIT (Bituminous Coal)
149,WND (Wind)
150,BIT (Bituminous Coal)
151,BIT (Bituminous Coal)
152,WND (Wind)
153,NG (Natural Gas)
154,NG (Natural Gas)
155,WND (Wind)
156,BIT (Bituminous Coal)
157,NG (Natural Gas)
158,WAT (Water)
159,NG (Natural Gas)
160,WAT (Water)
161,WND (Wind)
162,WAT (Water)
163,WND (Wind)
164,DFO (Distillate Fuel Oil)
165,NG (Natural Gas)
166,DFO (Distillate Fuel Oil)
167,NG (Natural Gas)
168,NG (Natural Gas)
169,NG (Natural Gas)
170,DFO (Distillate Fuel Oil)
171,NG (Natural Gas)
172,NG (Natural Gas)
173,NG (Natural Gas)
174,SUN (Solar)
175,NG (Natural Gas)
176,WAT (Water)
177,SUN (Solar)
178,BIT (Bituminous Coal)
179,NG (Natural Gas)
180,WND (Wind)
181,BIT (Bituminous Coal)
182,NG (Natural Gas)
183,NG (Natural Gas)
184,DFO (Distillate Fuel Oil)
185,NG (Natural Gas)
186,NG (Natural Gas)
187,SUN (Solar)
188,SUN (Solar)
189,NG (Natural Gas)
190,BIT (Bituminous Coal)
191,DFO (Distillate Fuel Oil)
192,SUN (Solar)
193,DFO (Distillate Fuel Oil)
194,NG (Natural Gas)
195,BIT (Bituminous Coal)
196,WAT (Water)
197,NG (Natural Gas)
198,DFO (Distillate Fuel Oil)
199,NG (Natural Gas)
200,WAT (Water)
201,WAT (Water)
202,WAT (Water)
203,BIT (Bituminous Coal)
204,WAT (Water)
205,WAT (Water)
206,NG (Natural Gas)
207,DFO (Distillate Fuel Oil)
208,NG (Natural Gas)
209,DFO (Distillate Fuel Oil)
210,WAT (Water)
211,WAT (Water)
212,BIT (Bituminous Coal)
213,BIT (Bituminous Coal)
214,WAT (Water)
215,WAT (Water)
216,WAT (Water)
217,WAT (Water)
218,NG (Natural Gas)
219,BIT (Bituminous Coal)
220,WAT (Water)
221,BIT (Bituminous Coal)
222,DFO (Distillate Fuel Oil)
223,WAT (Water)
224,BIT (Bituminous Coal)
225,WAT (Water)
226,WAT (Water)
227,NG (Natural Gas)
228,WAT (Water)
229,WAT (Water)
230,NG (Natural Gas)
231,BIT (Bituminous Coal)
232,DFO (Distillate Fuel Oil)
233,DFO (Distillate Fuel Oil)
234,DFO (Distillate Fuel Oil)
235,DFO (Distillate Fuel Oil)
236,WAT (Water)
237,DFO (Distillate Fuel Oil)
238,NG (Natural Gas)
239,DFO (Distillate Fuel Oil)
240,WAT (Water)
241,DFO (Distillate Fuel Oil)
242,DFO (Distillate Fuel Oil)
243,NG (Natural Gas)
244,NG (Natural Gas)
245,DFO (Distillate Fuel Oil)
246,DFO (Distillate Fuel Oil)
247,NG (Natural Gas)
248,DFO (Distillate Fuel Oil)
249,BIT (Bituminous Coal)
250,NG (Natural Gas)
251,DFO (Distillate Fuel Oil)
252,BIT (Bituminous Coal)
253,DFO (Distillate Fuel Oil)
254,BIT (Bituminous Coal)
255,BIT (Bituminous Coal)
256,SUN (Solar)
257,SUN (Solar)
258,SUN (Solar)
259,BIT (Bituminous Coal)
260,SUN (Solar)
261,BIT (Bituminous Coal)
262,WAT (Water)
263,SUN (Solar)
264,NG (Natural Gas)
265,NG (Natural Gas)
266,NG (Natural Gas)
267,WAT (Water)
268,BIT (Bituminous Coal)
269,NG (Natural Gas)
270,BIT (Bituminous Coal)
